,beer_name,beer_style,beer_substyle,brewery_name,abv
0,Samuel Adams Winter Lager,Bocks,German Bock,Boston Beer Company (Samuel Adams),5.6
1,Shiner Bock,Bocks,German Bock,Spoetzl Brewery,4.4
2,Samuel Adams Chocolate Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),5.8
3,Michelob AmberBock,Bocks,German Bock,Anheuser-Busch,5.2
4,Samuel Adams Cherry Chocolate Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),5.8
5,Uff-da,Bocks,German Bock,New Glarus Brewing Company,6.7
6,The Vixen Chocolate Chili Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),8.5
7,St. Nikolaus Bock Bier,Bocks,German Bock,Pennsylvania Brewing Company,6.0
8,Spring Bock,Bocks,German Bock,Saint Arnold Brewing Company,6.9
9,Pandora's Bock,Bocks,German Bock,Breckenridge Brewery,7.5
10,Genesee Spring Bock,Bocks,German Bock,Genesee Brewing Co. / Dundee Brewing Co.,5.2
11,Ur-Bock Dunkel,Bocks,German Bock,Einbecker Brauhaus AG,6.5
12,La Trappe Bockbier,Bocks,German Bock,Bierbrouwerij De Koningshoeven B.V.,7.0
13,Christmas Bock,Bocks,German Bock,Mahr's Bräu,6.0
14,Noche Buena,Bocks,German Bock,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",5.9
15,Schell's Bock,Bocks,German Bock,August Schell Brewing Company,6.1
16,Samuel Adams Toasted Caramel Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),5.8
17,Schokolade Bock,Bocks,German Bock,Millstream Brewing Company,6.0
18,Saranac Chocolate Lager,Bocks,German Bock,Matt Brewing Company / Saranac Brewery,6.0
19,Brother Benedict's Bock,Bocks,German Bock,Granite City Food & Brewery,5.1
20,Atwater Winterbock,Bocks,German Bock,Atwater Brewery,7.5
21,Creemore Springs UrBock,Bocks,German Bock,Creemore Springs Brewery Limited,6.0
22,Revolver Bock,Bocks,German Bock,Revolver Brewing,6.5
23,LAG Lagunator Lager,Bocks,German Bock,Lagunitas Brewing Company,7.7
24,Mountain Holidays In Vermont,Bocks,German Bock,Rock Art Brewery,5.8
25,Holsten Festbock,Bocks,German Bock,Holsten-Brauerei,7.0
26,Block House Double Chocolate Bock,Bocks,German Bock,Pittsburgh Brewing Co.,6.5
27,Huber Bock Beer,Bocks,German Bock,Minhas Craft Brewery,5.5
28,Bock Bock Imperial American Bock Aged In Bourbon Barrels,Bocks,German Bock,Shmaltz Brewing Company,9.4
29,Kozlak,Bocks,German Bock,Browar Amber,6.5
30,Samuel Adams Amber Bock,Bocks,German Bock,Boston Beer Company (Samuel Adams),6.0
31,Nero's 1st Century Double Dark Malt Ale,Bocks,German Bock,Amarcord Birra Artigianale Italiana,8.0
32,Bockslider Toadies Texas Bock,Bocks,German Bock,Martin House Brewing Company,5.6
33,Bokbier,Bocks,German Bock,Jopen Bier BV Haarlem,6.5
34,Love Honey,Bocks,German Bock,Lost Forty Brewery,6.3
35,Battlefield Bock,Bocks,German Bock,Red Oak Brewery,6.5
36,Mönchshof Bockbier,Bocks,German Bock,Kulmbacher Brauerei AG,6.9
37,Chouffe-Bok 6666,Bocks,German Bock,Brasserie d'Achouffe,6.66
38,Christoffel Bokbier,Bocks,German Bock,Bierbrouwerij Sint Christoffel B.V,7.8
39,The Bennie,Bocks,German Bock,Granite City Food & Brewery,5.5
40,Aass Bock,Bocks,German Bock,Aass Brewery,6.5
41,Bock Beer,Bocks,German Bock,Rivertown Brewery & Barrel House,7.2
42,Crawford Bock,Bocks,German Bock,Karbach Brewing Co.,4.5
43,Zywiec Bock,Bocks,German Bock,Zywiec Breweries PLC (Heineken),6.5
44,Stegmaier Brewhouse Bock,Bocks,German Bock,"Lion Brewery, Inc.",6.6
45,Bock De Joliette,Bocks,German Bock,Micro-Brasserie L'Alchimiste,6.1
46,Dreher Bak,Bocks,German Bock,Dreher Brewery,7.3
47,Poop Your Pants Chocolate Bock,Bocks,German Bock,Perrin Brewing Co.,6.0
48,Blondibock,Bocks,German Bock,Mammoth Brewing Company,8.0
